티커,ETF명,자산군,가중치,매수금액(KRW),수량(주)
A488770,KODEX 머니마켓액티브,금리연계형/초단기채권,0.2000,200000000,1950
A379800,KODEX 미국S&P500,해외주식_지수,0.1507,150687140,8537
A102110,TIGER 200,국내주식_지수,0.1378,137765164,4139
A468370,KODEX iShares미국인플레이션국채액티브,해외채권_종합,0.1302,130197868,11666
A411060,ACE KRX금현물,FX 및 원자재,0.1049,104930360,5031
A157450,TIGER 단기통안채,국내채권_종합,0.0993,99347707,902
A494670,TIGER 조선TOP10,국내주식_섹터,0.0780,78039437,4645
A487240,KODEX AI전력핵심설비,국내주식_섹터,0.0597,59725727,6198
A272560,RISE 단기국공채액티브,국내채권_종합,0.0393,39306593,348
