티커,ETF명,자산군,가중치,매수금액(KRW),수량(주)
A488770,KODEX 머니마켓액티브,금리연계형/초단기채권,0.1643,164338356,1573
A0061Z0,RISE 단기특수은행채액티브,국내채권_회사채,0.1572,157188428,3106
A487240,KODEX AI전력핵심설비,국내주식_섹터,0.1005,100543994,1842
A462010,TIGER 2차전지소재Fn,국내주식_섹터,0.1005,100543994,13513
A360750,TIGER 미국S&P500,해외주식_지수,0.0873,87299127,3108
A468370,KODEX iShares미국인플레이션국채액티브,해외채권_종합,0.0694,69429237,5788
A272560,RISE 단기국공채액티브,국내채권_종합,0.0627,62668932,549
A459580,KODEX CD금리액티브(합성),금리연계형/초단기채권,0.0549,54909450,51
A133690,TIGER 미국나스닥100,해외주식_지수,0.0470,47009529,237
A283580,KODEX 차이나CSI300,해외주식_지수,0.0454,45449545,2583
A261220,KODEX WTI원유선물(H),FX 및 원자재,0.0428,42764572,1712
A157450,TIGER 단기통안채,국내채권_종합,0.0251,25090258,224
A411060,ACE KRX금현물,FX 및 원자재,0.0250,25011133,829
A144600,KODEX 은선물(H),FX 및 원자재,0.0178,17753438,1414
