티커,ETF명,자산군,가중치,매수금액(KRW),수량(주)
A139250,TIGER 200 에너지화학,국내주식_섹터,0.1000,100000000,5092
A091160,KODEX 반도체,국내주식_섹터,0.1000,100000000,685
A133690,TIGER 미국나스닥100,해외주식_지수,0.1000,100000000,514
A283580,KODEX 차이나CSI300,해외주식_지수,0.1000,100000000,5812
A261220,KODEX WTI원유선물(H),FX 및 원자재,0.1000,100000000,3714
A144600,KODEX 은선물(H),FX 및 원자재,0.1000,100000000,7722
A468370,KODEX iShares미국인플레이션국채액티브,해외채권_종합,0.1000,100000000,8361
A157450,TIGER 단기통안채,국내채권_종합,0.1000,100000000,895
A0061Z0,RISE 단기특수은행채액티브,국내채권_회사채,0.1000,100000000,1977
A272560,RISE 단기국공채액티브,국내채권_종합,0.1000,100000000,877
