티커,ETF명,자산군,현재수량,목표수량,매매구분,거래수량,거래금액(KRW)
A459580,KODEX CD금리액티브(합성),금리연계형/초단기채권,185,184,SELL,-1,-1075345
A182480,TIGER 미국MSCI리츠(합성 H),해외주식_섹터,2404,2404,HOLD,0,0
A261240,KODEX 미국달러선물,FX 및 원자재,4854,4854,HOLD,0,0
A261220,KODEX WTI원유선물(H),FX 및 원자재,1415,1415,HOLD,0,0
A381170,TIGER 미국테크TOP10 INDXX,해외주식_섹터,1936,1936,HOLD,0,0
A114260,KODEX 국고채3년,국내채권_종합,1693,1693,HOLD,0,0
A371160,TIGER 차이나항셍테크,해외주식_지수,4237,4237,HOLD,0,0
A468380,KODEX iShares미국하이일드액티브,해외채권_회사채,3199,3199,HOLD,0,0
A161510,PLUS 고배당주,국내주식_섹터,1768,1768,HOLD,0,0
A411060,ACE KRX금현물,FX 및 원자재,2721,2721,HOLD,0,0
A069500,KODEX 200,국내주식_지수,352,352,HOLD,0,0
A305080,TIGER 미국채10년선물,해외채권_종합,6786,6786,HOLD,0,0
A360750,TIGER 미국S&P500,해외주식_지수,4380,4380,HOLD,0,0
A241180,TIGER 일본니케이225,해외주식_지수,611,611,HOLD,0,0
# CASH_RESIDUAL_KRW: 2148735
# CASH_WEIGHT: 0.002162
