티커,ETF명,자산군,가중치,매수금액(KRW),수량(주)
A329750,TIGER 미국달러단기채권액티브,해외채권_종합,0.1233,123265304,8662
A271060,KODEX 3대농산물선물(H),FX 및 원자재,0.1132,113235977,13936
A261220,KODEX WTI원유선물(H),FX 및 원자재,0.1132,113235977,4572
A468380,KODEX iShares미국하이일드액티브,해외채권_회사채,0.1089,108871649,8997
A411060,ACE KRX금현물,FX 및 원자재,0.1043,104267530,3455
A139250,TIGER 200 에너지화학,국내주식_섹터,0.0988,98760418,4965
A493420,SOL 미국배당다우존스TR,해외주식_섹터,0.0899,89902211,6891
A302190,TIGER 중장기국채,국내채권_종합,0.0793,79279359,1584
A430500,KIWOOM 물가채KIS,국내채권_종합,0.0793,79279359,698
A458730,TIGER 미국배당다우존스,해외주식_섹터,0.0454,45396319,2946
A446720,SOL 미국배당다우존스,해외주식_섹터,0.0445,44505891,3151
