티커,ETF명,자산군,가중치,매수금액(KRW),수량(주)
A459580,KODEX CD금리액티브(합성),금리연계형/초단기채권,0.1455,145463000,135
A411060,ACE KRX금현물,FX 및 원자재,0.1288,128818999,4269
A360750,TIGER 미국S&P500,해외주식_지수,0.1106,110629000,3878
A381170,TIGER 미국테크TOP10 INDXX,해외주식_섹터,0.1001,100147000,2839
A261240,KODEX 미국달러선물,FX 및 원자재,0.0903,90328000,5808
A114260,KODEX 국고채3년,국내채권_종합,0.0851,85095000,1387
A305080,TIGER 미국채10년선물,해외채권_종합,0.0779,77914000,5714
A261220,KODEX WTI원유선물(H),FX 및 원자재,0.0594,59419000,2399
A069500,KODEX 200,국내주식_지수,0.0507,50741000,358
A468380,KODEX iShares미국하이일드액티브,해외채권_회사채,0.0353,35271000,2914
A182480,TIGER 미국MSCI리츠(합성 H),해외주식_섹터,0.0321,32071000,2458
A161510,PLUS 고배당주,국내주식_섹터,0.0317,31720000,1185
A371160,TIGER 차이나항셍테크,해외주식_지수,0.0314,31419000,3668
A241180,TIGER 일본니케이225,해외주식_지수,0.0210,20964000,548
