티커,ETF명,자산군,가중치,매수금액(KRW),수량(주)
A0061Z0,RISE 단기특수은행채액티브,국내채권_회사채,0.2000,200000000,0
A360750,TIGER 미국S&P500,해외주식_지수,0.1578,157750000,0
A488770,KODEX 머니마켓액티브,금리연계형/초단기채권,0.1321,132110000,0
A487240,KODEX AI전력핵심설비,국내주식_섹터,0.1012,101220000,0
A133690,TIGER 미국나스닥100,해외주식_지수,0.0936,93600000,0
A456600,TIME 글로벌AI인공지능액티브,해외주식_섹터,0.0764,76380000,0
A411060,ACE KRX금현물,FX 및 원자재,0.0705,70470000,0
A102110,TIGER 200,국내주식_지수,0.0407,40740000,0
A278530,KODEX 200TR,국내주식_지수,0.0359,35920000,0
A144600,KODEX 은선물(H),FX 및 원자재,0.0295,29530000,0
A385540,RISE 종합채권(A-이상)액티브,국내채권_회사채,0.0205,20510000,0
A381180,TIGER 미국필라델피아반도체나스닥,해외주식_지수,0.0123,12260000,0
A455890,RISE 머니마켓액티브,금리연계형/초단기채권,0.0096,9570000,0
A453850,ACE 미국30년국채액티브(H),해외채권_종합,0.0091,9100000,0
A423160,KODEX KOFR금리액티브(합성),금리연계형/초단기채권,0.0083,8330000,0
A069500,KODEX 200,국내주식_지수,0.0021,2120000,0
A273130,KODEX 종합채권(AA-이상)액티브,국내채권_회사채,0.0004,390000,0
