티커,ETF명,자산군,가중치,매수금액(KRW),수량(주)
A459580,KODEX CD금리액티브(합성),금리연계형/초단기채권,0.1517,151723000,141
A381170,TIGER 미국테크TOP10 INDXX,해외주식_섹터,0.1355,135471000,3905
A411060,ACE KRX금현물,FX 및 원자재,0.1245,124549000,4135
A360750,TIGER 미국S&P500,해외주식_지수,0.1130,113039000,3952
A261240,KODEX 미국달러선물,FX 및 원자재,0.0918,91820000,5854
A114260,KODEX 국고채3년,국내채권_종합,0.0877,87684000,1433
A305080,TIGER 미국채10년선물,해외채권_종합,0.0679,67884000,4944
A069500,KODEX 200,국내주식_지수,0.0497,49662000,357
A261220,KODEX WTI원유선물(H),FX 및 원자재,0.0476,47596000,1843
A161510,PLUS 고배당주,국내주식_섹터,0.0320,32036000,1191
A371160,TIGER 차이나항셍테크,해외주식_지수,0.0317,31663999,3805
A468380,KODEX iShares미국하이일드액티브,해외채권_회사채,0.0240,24032000,1977
A182480,TIGER 미국MSCI리츠(합성 H),해외주식_섹터,0.0216,21614000,1620
A241180,TIGER 일본니케이225,해외주식_지수,0.0212,21226000,544
