티커,ETF명,자산군,가중치,매수금액(KRW),수량(주)
A459580,KODEX CD금리액티브(합성),금리연계형/초단기채권,0.1927,192655000,179
A360750,TIGER 미국S&P500,해외주식_지수,0.1348,134754000,4671
A114260,KODEX 국고채3년,국내채권_종합,0.0953,95279000,1557
A411060,ACE KRX금현물,FX 및 원자재,0.0875,87548000,2902
A305080,TIGER 미국채10년선물,해외채권_종합,0.0865,86523000,6242
A261240,KODEX 미국달러선물,FX 및 원자재,0.0767,76722000,4854
A381170,TIGER 미국테크TOP10 INDXX,해외주식_섹터,0.0675,67511000,1936
A161510,PLUS 고배당주,국내주식_섹터,0.0470,47019000,1768
A069500,KODEX 200,국내주식_지수,0.0462,46160000,352
A468380,KODEX iShares미국하이일드액티브,해외채권_회사채,0.0393,39262000,3199
A261220,KODEX WTI원유선물(H),FX 및 원자재,0.0357,35730000,1415
A371160,TIGER 차이나항셍테크,해외주식_지수,0.0349,34941000,4237
A182480,TIGER 미국MSCI리츠(합성 H),해외주식_섹터,0.0325,32488999,2404
A241180,TIGER 일본니케이225,해외주식_지수,0.0234,23407000,611
