티커,ETF명,자산군,현재수량,목표수량,매매구분,거래수량,거래금액(KRW)
A459580,KODEX CD금리액티브(합성),금리연계형/초단기채권,185,182,SELL,-3,-3222720
A411060,ACE KRX금현물,FX 및 원자재,3390,3390,HOLD,0,0
A161510,PLUS 고배당주,국내주식_섹터,989,989,HOLD,0,0
A261220,KODEX WTI원유선물(H),FX 및 원자재,1548,1548,HOLD,0,0
A261240,KODEX 미국달러선물,FX 및 원자재,4770,4770,HOLD,0,0
A182480,TIGER 미국MSCI리츠(합성 H),해외주식_섹터,1620,1620,HOLD,0,0
A360750,TIGER 미국S&P500,해외주식_지수,3218,3218,HOLD,0,0
A069500,KODEX 200,국내주식_지수,311,311,HOLD,0,0
A468380,KODEX iShares미국하이일드액티브,해외채권_회사채,2656,2656,HOLD,0,0
A371160,TIGER 차이나항셍테크,해외주식_지수,3153,3153,HOLD,0,0
A305080,TIGER 미국채10년선물,해외채권_종합,6641,6641,HOLD,0,0
A114260,KODEX 국고채3년,국내채권_종합,1944,1944,HOLD,0,0
A381170,TIGER 미국테크TOP10 INDXX,해외주식_섹터,3191,3191,HOLD,0,0
A241180,TIGER 일본니케이225,해외주식_지수,544,544,HOLD,0,0
# CASH_RESIDUAL_KRW: 3222720
# CASH_WEIGHT: 0.003282
